Wall time,Step,Value
1647824721.9896245,600000,13.527812004089355
1647824784.803005,700000,14.848430633544922
1647825108.3338563,1200000,20.03206443786621
1647825302.9158883,1500000,21.77427864074707
1647825367.076393,1600000,22.12300682067871
1647825576.032885,1900000,23.186687469482422
1647825646.535997,2000000,23.510478973388672
1647825717.1471958,2100000,23.76030158996582
1647826003.252873,2500000,24.911420822143555
1647826818.6476967,3700000,32.81687927246094
1647827075.241778,4100000,35.3817138671875
1647827200.9875035,4300000,37.61248016357422
1647827330.636863,4500000,38.978111267089844
1647827391.7752576,4600000,39.44213104248047
1647827521.6631758,4800000,40.689796447753906
1647827904.8158782,5400000,45.233158111572266
1647827971.6042645,5500000,45.746524810791016
1647828037.659491,5600000,46.353736877441406
1647828099.8311677,5700000,46.12517547607422
1647828165.840991,5800000,47.656349182128906
1647828558.7845407,6400000,51.02093505859375
1647828691.1821978,6600000,52.17982864379883
1647828823.9832096,6800000,52.17876434326172
1647828891.5456128,6900000,53.21235656738281
1647829093.348243,7200000,54.49604034423828
1647829157.2351525,7300000,54.941837310791016
1647829224.1123583,7400000,54.86591339111328
1647829292.0497277,7500000,55.995758056640625
1647829621.3892179,8000000,56.91452407836914
1647829951.1811192,8500000,58.22450637817383
1647830150.4377608,8800000,59.0791015625
1647830213.852371,8900000,59.189151763916016
1647830616.7048109,9500000,60.123023986816406
1647831153.1952512,10300000,61.7421989440918
1647831356.9379797,10600000,62.11789321899414
1647831426.0505538,10700000,62.09104919433594
1647831894.773435,11400000,63.618106842041016
1647832097.4717207,11700000,63.08283996582031
1647832231.3770325,11900000,64.03126525878906
1647832710.0150106,12600000,64.68109893798828
1647832775.1475806,12700000,64.52057647705078
1647832980.2763622,13000000,65.00399780273438
1647833050.4511068,13100000,65.21988677978516
1647833522.5531678,13800000,65.0943832397461
1647833662.652298,14000000,65.63650512695312
1647833796.9268723,14200000,65.7335205078125
1647833861.7552924,14300000,65.4429931640625
1647833931.2299147,14400000,65.55195617675781
1647834406.6386757,15100000,65.85041046142578
1647834753.872742,15600000,66.19178009033203
1647834890.0424957,15800000,66.42520904541016
1647834960.2792735,15900000,66.16222381591797
1647835231.0869303,16300000,66.83989715576172
1647835573.697052,16800000,67.24939727783203
1647835644.1130087,16900000,67.43855285644531
1647835850.2138662,17200000,67.57958984375
1647836261.1419442,17800000,67.79584503173828
1647836332.7935889,17900000,68.18436431884766
1647836469.6509795,18100000,68.038818359375
1647836678.5299835,18400000,67.7491226196289
1647836815.746715,18600000,67.97175598144531
1647836887.8652842,18700000,68.52685546875
1647837025.1382217,18900000,68.64913177490234
1647837167.0561922,19100000,67.96937561035156
1647837233.7650018,19200000,68.78962707519531
1647837721.6786153,19900000,68.88581848144531
1647838277.7515125,20700000,69.0854263305664
1647838343.748986,20800000,68.97744750976562
1647838414.514302,20900000,69.42547607421875
1647838692.034784,21300000,69.724365234375
1647839395.4425476,22300000,70.11796569824219
1647839462.0943122,22400000,69.72225189208984
1647839605.117845,22600000,70.28467559814453
1647839882.8329759,23000000,70.06531524658203
1647840093.9761882,23300000,70.34632873535156
1647840166.44018,23400000,70.7017822265625
1647840233.4374506,23500000,70.06814575195312
1647840444.6389043,23800000,70.28544616699219
1647841294.0011084,25000000,70.88715362548828
1647841718.536924,25600000,71.32920837402344
1647841931.3120177,25900000,71.12996673583984
1647842071.300782,26100000,71.22567749023438
1647842139.5161314,26200000,71.33988189697266
1647842285.6419857,26400000,71.50106048583984
1647842566.0808434,26800000,71.68297576904297
1647842851.6159024,27200000,71.98973846435547
1647842994.218799,27400000,71.79497528076172
1647843346.6056,27900000,72.03408813476562
1647843774.6445816,28500000,71.74232482910156
1647844271.1997821,29200000,72.43567657470703
1647844344.652281,29300000,72.45824432373047
1647844702.2174745,29800000,72.83466339111328
1647844775.060739,29900000,72.74897766113281
1647845058.1374779,30300000,72.79423522949219
1647845130.762848,30400000,73.04499053955078
1647845413.900527,30800000,72.97025299072266
1647845486.7072453,30900000,73.0333023071289
1647845627.6046286,31100000,72.9752197265625
1647845846.9425435,31400000,73.19313049316406
1647846205.017227,31900000,73.14444732666016
1647846278.0602007,32000000,73.24447631835938
1647846351.3608909,32100000,73.21753692626953
1647846707.550032,32600000,73.68132019042969
1647846776.154793,32700000,73.56642150878906
1647846849.1517344,32800000,73.75455474853516
1647847064.446044,33100000,73.78596496582031
1647847706.62016,34000000,74.2015609741211
1647847853.2212453,34200000,74.14413452148438
1647848137.7973394,34600000,74.28413391113281
1647848283.9097598,34800000,74.33495330810547
1647848352.4511697,34900000,74.38780975341797
1647848711.5068185,35400000,74.51283264160156
1647848785.0957053,35500000,74.45926666259766
1647849214.3790312,36100000,74.6293716430664
1647849428.9912224,36400000,74.78023529052734
1647849712.5117226,36800000,74.89381408691406
1647850000.977925,37200000,74.99522399902344
1647850141.9514945,37400000,75.14754486083984
1647850425.4875762,37800000,75.16527557373047
1647850498.767717,37900000,75.2572021484375
1647850572.404014,38000000,75.35906982421875
1647850715.3193948,38200000,75.30634307861328
1647851071.601829,38700000,75.605712890625
1647851144.6598709,38800000,75.45034790039062
1647851427.0360901,39200000,75.52083587646484
1647851500.670638,39300000,75.75672912597656
1647851568.4095037,39400000,75.64547729492188
1647852648.3017025,40900000,76.27269744873047
1647853148.5858,41600000,76.46497344970703
1647853222.0988123,41700000,76.56504821777344
1647853577.9905343,42200000,76.63870239257812
1647853646.3742695,42300000,76.69087219238281
1647853792.432218,42500000,76.71047973632812
1647853933.1424234,42700000,76.64942932128906
1647854215.6691258,43100000,76.89166259765625
1647854862.362602,44000000,77.18782043457031
1647855003.7095575,44200000,77.17489624023438
1647855076.8297894,44300000,77.10826873779297
1647855292.0452454,44600000,77.21444702148438
1647855715.969067,45200000,77.45944213867188
1647856286.563888,46000000,77.64620971679688
1647856359.3692813,46100000,77.5926513671875
1647856573.7775967,46400000,77.68968963623047
1647856646.614144,46500000,77.81500244140625
1647856855.9115674,46800000,77.76537322998047
1647856928.7337675,46900000,77.93431091308594
1647857282.7642515,47400000,77.96456146240234
1647857356.0352602,47500000,77.96512603759766
1647858137.3199513,48600000,78.12932586669922
1647858345.2860403,48900000,78.23783111572266
1647858418.3085678,49000000,78.144287109375
1647858559.9780679,49200000,78.25562286376953
1647858706.2843897,49400000,78.23599243164062
1647858913.9762974,49700000,78.45649719238281
1647859695.2033536,50800000,78.55496978759766
1647860051.6228125,51300000,78.77196502685547
1647860197.581273,51500000,78.77889251708984
1647860406.704928,51800000,78.79773712158203
1647860554.6553335,52000000,78.8592529296875
1647860910.8346376,52500000,78.89532470703125
1647860979.3681655,52600000,78.96466827392578
1647861408.596059,53200000,79.13904571533203
1647861550.5907393,53400000,79.22230529785156
1647861623.9448984,53500000,79.19739532470703
1647861765.6782699,53700000,79.20820617675781
1647861838.7759876,53800000,79.19391632080078
1647861911.6478398,53900000,79.32630157470703
1647862054.2228665,54100000,79.26094818115234
1647862195.414042,54300000,79.27762603759766
1647862553.1681986,54800000,79.40123748779297
1647862627.2423837,54900000,79.2844009399414
1647862695.462684,55000000,79.40980529785156
1647862842.7957263,55200000,79.4198226928711
1647863267.357723,55800000,79.46836853027344
1647863414.6394656,56000000,79.5221939086914
1647863698.8726451,56400000,79.67174530029297
1647863773.0308785,56500000,79.68238067626953
1647863841.1265337,56600000,79.5891342163086
1647864130.0464385,57000000,79.64400482177734
1647864413.9323156,57400000,79.75016021728516
1647864487.937837,57500000,79.73648834228516
1647864702.7515004,57800000,79.76849365234375
1647864844.4975085,58000000,79.9328842163086
1647864917.6987674,58100000,79.8889389038086
1647864985.879443,58200000,79.77715301513672
1647865059.7944782,58300000,79.90186309814453
1647865134.5848079,58400000,79.95341491699219
1647865203.3662815,58500000,79.95833587646484
1647865345.8111567,58700000,79.95953369140625
1647865421.4261756,58800000,79.95429229736328
1647865777.9019685,59300000,79.9041519165039
1647865851.5133233,59400000,79.88529968261719
1647866136.3451085,59800000,80.11492156982422
1647866352.9787834,60100000,80.1023941040039
1647866495.1302884,60300000,80.15939331054688
1647866925.6243196,60900000,80.24503326416016
1647867067.0711102,61100000,80.2638168334961
1647867428.5111508,61600000,80.31341552734375
1647867710.6835485,62000000,80.31375122070312
1647867784.1128466,62100000,80.44007873535156
1647867925.270062,62300000,80.40032196044922
1647868140.1508749,62600000,80.32925415039062
1647868780.483836,63500000,80.46083068847656
1647869283.8305802,64200000,80.53092956542969
1647869351.736,64300000,80.49481964111328
1647869498.8246038,64500000,80.55955505371094
1647869572.6867692,64600000,80.64038848876953
1647869665.6610732,64700000,80.63941955566406
1647869743.18309,64800000,80.65109252929688
1647869922.044444,65000000,80.74887084960938
1647870175.9722526,65300000,80.6294174194336
1647870508.7443607,65700000,80.74752044677734
1647870594.7872658,65800000,80.78160858154297
1647870939.1021998,66200000,80.73465728759766
1647871230.7199173,66500000,80.7103500366211
1647871731.1356204,66900000,80.7659912109375
1647872117.5658195,67200000,80.8002700805664
1647872246.9651945,67300000,80.8830337524414
1647872369.0365138,67400000,80.93858337402344
1647872479.3929567,67500000,80.89204406738281
1647872610.5831912,67600000,80.93413543701172
1647872832.5631416,67800000,80.84811401367188
1647872947.031505,67900000,80.7743148803711
1647873060.1243556,68000000,80.94819641113281
1647873297.3462856,68200000,81.02009582519531
1647873411.6803598,68300000,80.88802337646484
1647873533.4273953,68400000,81.0026626586914
1647873643.9624825,68500000,80.96273040771484
1647873880.855486,68700000,80.99890899658203
1647874100.333942,68900000,81.0409164428711
1647874185.0622294,69000000,80.90225982666016
1647874688.2846322,69700000,81.01445007324219
1647880553.5224848,70000000,80.93817138671875
1647880697.365542,70200000,81.05674743652344
1647880841.541247,70400000,81.10064697265625
1647881090.0746148,70700000,81.1097183227539
1647881255.5736275,70900000,81.02692413330078
1647881445.139311,71100000,81.13142395019531
1647881803.521321,71500000,81.19145202636719
1647882172.3965244,71900000,81.27014923095703
1647882447.349644,72200000,81.23403930664062
1647882542.0672016,72300000,81.3226089477539
1647882636.4662557,72400000,81.27899169921875
1647882725.2817705,72500000,81.2596435546875
1647883287.1630769,73100000,81.35612487792969
